Independent School District Name,ISD #,Subject to Subchapter C,Category #,Subject to Subchapter C Because of Demographics Characteristics [Sec.313.051(a-1)(2)],Minimum Limitation Amount [Sec.313.053],Minimum Qualified Investment Amount [Sec.313.054]
Meridian,018-902,YES,III,YES,$20 Million,$10 Million
Merkel,221-904,YES,II,YES,$25 Million,$20 Million
Mesquite,057-914,NO,II,NO,$80 Million,$80 Million
Mexia,147-903,YES,III,YES,$20 Million,$10 Million
Meyersville,062-906,YES,IV,YES,$15 Million,$5 Million
Miami,197-902,YES,II,YES,$25 Million,$20 Million
Midland,165-901,NO,I,NO,$100 Million,$100 Million
Midlothian,070-908,NO,II,NO,$80 Million,$80 Million
Midway,161-903,NO,II,NO,$80 Million,$80 Million
Midway,039-905,YES,II,YES,$25 Million,$20 Million
Milano,166-903,YES,III,YES,$20 Million,$10 Million
Mildred,175-910,NO,IV,NO,$40 Million,$40 Million
Miles,200-902,YES,III,YES,$20 Million,$10 Million
Milford,070-909,YES,III,YES,$20 Million,$10 Million
Miller Grove,112-907,YES,V,YES,$10 Million,$1 Million
Millsap,184-904,YES,III,YES,$20 Million,$10 Million
Mineola,250-903,YES,III,YES,$20 Million,$10 Million
Mineral Wells,182-903,YES,II,YES,$25 Million,$20 Million
Mission,108-908,YES,III,NO,$20 Million,$10 Million
Monahans-Wickett-Phillips,238-902,YES,I,YES,$30 Million,$30 Million
Montague,169-908,YES,III,YES,$20 Million,$10 Million
Monte Alto,108-915,YES,IV,NO,$15 Million,$5 Million
Montgomery,170-903,NO,II,NO,$80 Million,$80 Million
Moody,161-910,YES,III,NO,$20 Million,$10 Million
Moran,209-902,YES,III,YES,$20 Million,$10 Million
Morgan,018-903,YES,IV,YES,$15 Million,$5 Million
Morgan Mill,072-910,YES,V,YES,$10 Million,$1 Million
Morton,040-901,YES,III,YES,$20 Million,$10 Million
Motley,173-901,YES,III,YES,$20 Million,$10 Million
Moulton,143-902,YES,III,YES,$20 Million,$10 Million
Mount Calm,109-910,YES,IV,YES,$15 Million,$5 Million
Mount Enterprise,201-907,YES,III,NO,$20 Million,$10 Million
Mount Pleasant,225-902,YES,I,YES,$30 Million,$30 Million
Mount Vernon,080-901,YES,III,YES,$20 Million,$10 Million
Muenster,049-902,YES,II,YES,$25 Million,$20 Million
Muleshoe,009-901,YES,III,YES,$20 Million,$10 Million
Mullin,167-902,YES,III,YES,$20 Million,$10 Million
Mumford,198-906,YES,III,YES,$20 Million,$10 Million
Munday,138-903,YES,III,YES,$20 Million,$10 Million
Murchison,107-908,NO,V,NO,$20 Million,$20 Million
Nacogdoches,174-904,YES,I,NO,$30 Million,$30 Million
Natalia,163-903,NO,IV,NO,$40 Million,$40 Million
Navarro,094-903,NO,II,NO,$80 Million,$80 Million
Navasota,093-904,YES,I,YES,$30 Million,$30 Million
Nazareth,035-903,YES,IV,YES,$15 Million,$5 Million
Neches,001-906,NO,IV,NO,$40 Million,$40 Million
Nederland,123-905,YES,I,NO,$30 Million,$30 Million
Needville,079-906,NO,II,NO,$80 Million,$80 Million
New Boston,019-905,YES,III,NO,$20 Million,$10 Million
New Braunfels,046-901,NO,II,NO,$80 Million,$80 Million
New Caney,170-908,NO,II,NO,$80 Million,$80 Million
New Deal,152-902,NO,IV,NO,$40 Million,$40 Million
New Diana,230-906,YES,III,YES,$20 Million,$10 Million
New Home,153-905,YES,III,YES,$20 Million,$10 Million
New Summerfield,037-908,YES,III,NO,$20 Million,$10 Million
New Waverly,236-901,YES,III,NO,$20 Million,$10 Million
Newcastle,252-902,YES,IV,YES,$15 Million,$5 Million
Newton,176-902,YES,III,YES,$20 Million,$10 Million
Nixon-Smiley,089-903,YES,II,YES,$25 Million,$20 Million
Nocona,169-902,YES,III,YES,$20 Million,$10 Million
Nordheim,062-902,YES,III,YES,$20 Million,$10 Million
