Independent School District Name,ISD #,Subject to Subchapter C,Category #,Subject to Subchapter C Because of Demographics Characteristics [Sec.313.051(a-1)(2)],Minimum Limitation Amount [Sec.313.053],Minimum Qualified Investment Amount [Sec.313.054]
Abbott,109-901,YES,III,YES,$20 Million,$10 Million
Abernathy,095-901,YES,I,YES,$30 Million,$30 Million
Abilene,221-901,YES,I,YES,$30 Million,$30 Million
Academy,014-901,YES,III,NO,$20 Million,$10 Million
Adrian,180-903,YES,I,YES,$30 Million,$30 Million
Agua Dulce,178-901,YES,III,YES,$20 Million,$10 Million
Alamo Heights,015-901,NO,II,NO,$80 Million,$80 Million
Alba-Golden,250-906,YES,III,YES,$20 Million,$10 Million
Albany,209-901,YES,II,YES,$25 Million,$20 Million
Aldine,101-902,NO,I,NO,$100 Million,$100 Million
Aledo,184-907,NO,II,NO,$80 Million,$80 Million
Alice,125-901,YES,I,YES,$30 Million,$30 Million
Alief,101-903,NO,I,NO,$100 Million,$100 Million
Allen,043-901,NO,I,NO,$100 Million,$100 Million
Alpine,022-901,YES,III,YES,$20 Million,$10 Million
Alto,037-901,YES,III,NO,$20 Million,$10 Million
Alvarado,126-901,NO,II,NO,$80 Million,$80 Million
Alvin,020-901,YES,I,NO,$30 Million,$30 Million
Alvord,249-901,YES,III,YES,$20 Million,$10 Million
Amarillo,188-901,NO,II,NO,$80 Million,$80 Million
Amherst,140-901,YES,III,YES,$20 Million,$10 Million
Anahuac,036-901,NO,III,NO,$60 Million,$60 Million
Anderson-Shiro,093-901,YES,II,YES,$25 Million,$20 Million
Andrews,002-901,YES,I,YES,$30 Million,$30 Million
Angleton,020-902,YES,I,NO,$30 Million,$30 Million
Anna,043-902,NO,II,NO,$80 Million,$80 Million
Anson,127-901,YES,III,YES,$20 Million,$10 Million
Anthony,071-906,YES,III,NO,$20 Million,$10 Million
Anton,110-901,YES,III,YES,$20 Million,$10 Million
Apple Springs,228-905,YES,IV,YES,$15 Million,$5 Million
Aquilla,109-912,YES,III,YES,$20 Million,$10 Million
Aransas County,004-901,YES,III,YES,$20 Million,$10 Million
Aransas Pass,205-901,YES,III,YES,$20 Million,$10 Million
Archer City,005-901,YES,I,YES,$30 Million,$30 Million
Argyle,061-910,NO,II,NO,$80 Million,$80 Million
Arlington,220-901,NO,I,NO,$100 Million,$100 Million
Arp,212-901,NO,IV,NO,$40 Million,$40 Million
Aspermont,217-901,YES,III,YES,$20 Million,$10 Million
Athens,107-901,NO,II,NO,$80 Million,$80 Million
Atlanta,034-901,YES,III,YES,$20 Million,$10 Million
Aubrey,061-907,NO,II,NO,$80 Million,$80 Million
Austin,227-901,NO,I,NO,$100 Million,$100 Million
Austwell-Tivoli,196-901,YES,III,YES,$20 Million,$10 Million
Avalon,070-901,NO,V,NO,$20 Million,$20 Million
Avery,194-902,YES,IV,YES,$15 Million,$5 Million
Avinger,034-902,YES,III,YES,$20 Million,$10 Million
Axtell,161-918,YES,IV,YES,$15 Million,$5 Million
Azle,220-915,NO,II,NO,$80 Million,$80 Million
Baird,030-903,YES,III,YES,$20 Million,$10 Million
Ballinger,200-901,YES,III,YES,$20 Million,$10 Million
Balmorhea,195-902,YES,I,YES,$30 Million,$30 Million
Bandera,010-902,YES,III,YES,$20 Million,$10 Million
Bangs,025-901,YES,III,YES,$20 Million,$10 Million
Banquete,178-913,YES,I,NO,$30 Million,$30 Million
Barbers Hill,036-902,NO,II,NO,$80 Million,$80 Million
Bartlett,014-902,YES,III,YES,$20 Million,$10 Million
Bastrop,011-901,NO,II,NO,$80 Million,$80 Million
Bay City,158-901,YES,I,YES,$30 Million,$30 Million
Beaumont,123-910,YES,I,NO,$30 Million,$30 Million
Beckville,183-901,YES,II,YES,$25 Million,$20 Million
Beeville,013-901,YES,III,YES,$20 Million,$10 Million
Bellevue,039-904,YES,III,YES,$20 Million,$10 Million
Bells,091-901,NO,IV,NO,$40 Million,$40 Million
Bellville,008-901,YES,III,YES,$20 Million,$10 Million
Belton,014-903,YES,III,NO,$20 Million,$10 Million
Ben Bolt-Palito Blanco,125-902,YES,III,YES,$20 Million,$10 Million
Benavides,066-901,YES,II,YES,$25 Million,$20 Million
Benjamin,138-904,YES,III,YES,$20 Million,$10 Million
Big Sandy,187-901,YES,III,NO,$20 Million,$10 Million
Big Sandy,230-901,YES,III,YES,$20 Million,$10 Million
Big Spring,114-901,YES,I,YES,$30 Million,$30 Million
Birdville,220-902,NO,I,NO,$100 Million,$100 Million
Bishop,178-902,YES,I,NO,$30 Million,$30 Million
Blackwell,177-903,YES,I,YES,$30 Million,$30 Million
Blanco,016-902,NO,II,NO,$80 Million,$80 Million
Bland,116-915,YES,IV,NO,$15 Million,$5 Million
Blanket,025-904,YES,III,YES,$20 Million,$10 Million
Bloomburg,034-909,YES,IV,YES,$15 Million,$5 Million
Blooming Grove,175-902,NO,IV,NO,$40 Million,$40 Million
Bloomington,235-901,NO,IV,NO,$40 Million,$40 Million
Blue Ridge,043-917,YES,III,YES,$20 Million,$10 Million
Bluff Dale,072-904,YES,IV,YES,$15 Million,$5 Million
Blum,109-913,YES,III,YES,$20 Million,$10 Million
Boerne,130-901,NO,II,NO,$80 Million,$80 Million
Boles Home,116-916,YES,V,NO,$10 Million,$1 Million
Boling,241-901,YES,III,YES,$20 Million,$10 Million
Bonham,074-903,YES,III,YES,$20 Million,$10 Million
Booker,148-901,YES,III,YES,$20 Million,$10 Million
Borden County,017-901,YES,I,YES,$30 Million,$30 Million
Borger,117-901,YES,I,YES,$30 Million,$30 Million
Bosqueville,161-923,NO,IV,NO,$40 Million,$40 Million
Bovina,185-901,YES,III,YES,$20 Million,$10 Million
Bowie,169-901,YES,II,YES,$25 Million,$20 Million
Boyd,249-902,NO,III,NO,$60 Million,$60 Million
Brackett,136-901,YES,V,YES,$10 Million,$1 Million
Brady,160-901,YES,I,YES,$30 Million,$30 Million
Brazos,008-903,YES,III,YES,$20 Million,$10 Million
Brazosport,020-905,YES,I,NO,$30 Million,$30 Million
Breckenridge,215-901,YES,III,YES,$20 Million,$10 Million
Bremond,198-901,YES,III,YES,$20 Million,$10 Million
Brenham,239-901,YES,I,YES,$30 Million,$30 Million
Bridge City,181-901,YES,II,NO,$25 Million,$20 Million
Bridgeport,249-903,NO,II,NO,$80 Million,$80 Million
Broaddus,203-902,YES,III,YES,$20 Million,$10 Million
Brock,184-909,NO,III,NO,$60 Million,$60 Million
Bronte,041-901,YES,III,YES,$20 Million,$10 Million
Brookeland,121-902,YES,III,YES,$20 Million,$10 Million
Brookesmith,025-908,YES,IV,YES,$15 Million,$5 Million
Brooks,024-901,YES,III,YES,$20 Million,$10 Million
Brownfield,223-901,YES,II,YES,$25 Million,$20 Million
Brownsboro,107-902,NO,III,NO,$60 Million,$60 Million
Brownsville,031-901,YES,I,NO,$30 Million,$30 Million
Brownwood,025-902,YES,I,YES,$30 Million,$30 Million
Bruceville-Eddy,161-919,YES,III,YES,$20 Million,$10 Million
Bryan,021-902,YES,I,YES,$30 Million,$30 Million
Bryson,119-901,YES,II,YES,$25 Million,$20 Million
Buckholts,166-907,YES,IV,YES,$15 Million,$5 Million
Buena Vista,186-901,YES,I,YES,$30 Million,$30 Million
Buffalo,145-901,YES,III,YES,$20 Million,$10 Million
Bullard,212-902,YES,III,NO,$20 Million,$10 Million
Buna,121-903,YES,III,YES,$20 Million,$10 Million
Burkburnett,243-901,YES,I,YES,$30 Million,$30 Million
Burkeville,176-901,YES,III,YES,$20 Million,$10 Million
Burleson,126-902,NO,II,NO,$80 Million,$80 Million
Burnet,027-903,YES,III,YES,$20 Million,$10 Million
Burton,239-903,YES,III,YES,$20 Million,$10 Million
Bushland,188-904,NO,II,NO,$80 Million,$80 Million
Bynum,109-902,YES,III,YES,$20 Million,$10 Million
Caddo Mills,116-901,YES,III,NO,$20 Million,$10 Million
Calallen,178-903,YES,I,NO,$30 Million,$30 Million
Caldwell,026-901,YES,II,YES,$25 Million,$20 Million
Calhoun County,029-901,YES,I,YES,$30 Million,$30 Million
Callisburg,049-905,YES,III,YES,$20 Million,$10 Million
Calvert,198-902,YES,III,YES,$20 Million,$10 Million
Cameron,166-901,YES,III,YES,$20 Million,$10 Million
Campbell,116-910,YES,V,NO,$10 Million,$1 Million
Canadian,106-901,YES,II,YES,$25 Million,$20 Million
Canton,234-902,NO,III,NO,$60 Million,$60 Million
Canutillo,071-907,YES,I,NO,$30 Million,$30 Million
Canyon,191-901,NO,II,NO,$80 Million,$80 Million
Carlisle,201-913,YES,III,NO,$20 Million,$10 Million
Carrizo Springs,064-903,YES,I,YES,$30 Million,$30 Million
Carroll,220-919,NO,II,NO,$80 Million,$80 Million
Carrollton-Farmers Branch,057-903,NO,I,NO,$100 Million,$100 Million
Carthage,183-902,YES,I,YES,$30 Million,$30 Million
Castleberry,220-917,NO,III,NO,$60 Million,$60 Million
Cayuga,001-902,NO,IV,NO,$40 Million,$40 Million
Cedar Hill,057-904,NO,II,NO,$80 Million,$80 Million
Celeste,116-902,YES,IV,NO,$15 Million,$5 Million
Celina,043-903,NO,II,NO,$80 Million,$80 Million
Center,210-901,YES,III,YES,$20 Million,$10 Million
Center Point,133-901,NO,IV,NO,$40 Million,$40 Million
Centerville,145-902,YES,III,YES,$20 Million,$10 Million
Centerville,228-904,YES,IV,YES,$15 Million,$5 Million
Central,003-907,YES,III,NO,$20 Million,$10 Million
Central Heights,174-908,YES,III,NO,$20 Million,$10 Million
Channelview,101-905,NO,II,NO,$80 Million,$80 Million
Channing,103-901,YES,III,YES,$20 Million,$10 Million
Chapel Hill,212-909,NO,II,NO,$80 Million,$80 Million
Chapel Hill,225-906,YES,III,YES,$20 Million,$10 Million
Charlotte,007-901,YES,III,YES,$20 Million,$10 Million
Cherokee,206-903,YES,IV,YES,$15 Million,$5 Million
Chester,229-906,YES,IV,YES,$15 Million,$5 Million
Chico,249-904,NO,III,NO,$60 Million,$60 Million
Childress,038-901,YES,III,YES,$20 Million,$10 Million
Chillicothe,099-902,YES,III,YES,$20 Million,$10 Million
Chilton,073-901,YES,III,YES,$20 Million,$10 Million
China Spring,161-920,YES,III,YES,$20 Million,$10 Million
Chireno,174-901,YES,III,YES,$20 Million,$10 Million
Chisum,139-905,YES,I,YES,$30 Million,$30 Million
Christoval,226-901,NO,IV,NO,$40 Million,$40 Million
Cisco,067-902,YES,I,YES,$30 Million,$30 Million
City View,243-906,NO,IV,NO,$40 Million,$40 Million
Clarendon,065-901,YES,II,YES,$25 Million,$20 Million
Clarksville,194-904,YES,III,YES,$20 Million,$10 Million
Claude,006-902,YES,III,YES,$20 Million,$10 Million
Clear Creek,084-910,NO,I,NO,$100 Million,$100 Million
Cleburne,126-903,NO,II,NO,$80 Million,$80 Million
Cleveland,146-901,YES,III,YES,$20 Million,$10 Million
Clifton,018-901,YES,II,YES,$25 Million,$20 Million
Clint,071-901,YES,III,NO,$20 Million,$10 Million
Clyde-Hamby,030-902,YES,II,YES,$25 Million,$20 Million
Coahoma,114-902,YES,III,YES,$20 Million,$10 Million
Coldspring-Oakhurst,204-901,YES,III,YES,$20 Million,$10 Million
Coleman,042-901,YES,III,YES,$20 Million,$10 Million
College Station,021-901,NO,I,NO,$100 Million,$100 Million
Collinsville,091-902,YES,III,YES,$20 Million,$10 Million
Colmesneil,229-901,YES,III,YES,$20 Million,$10 Million
Colorado,168-901,YES,III,YES,$20 Million,$10 Million
Columbia-Brazoria,020-907,YES,I,NO,$30 Million,$30 Million
Columbus,045-902,YES,II,YES,$25 Million,$20 Million
Comal,046-902,NO,I,NO,$100 Million,$100 Million
Comanche,047-901,YES,I,YES,$30 Million,$30 Million
Comfort,130-902,NO,III,NO,$60 Million,$60 Million
Commerce,116-903,YES,III,YES,$20 Million,$10 Million
Community,043-918,YES,III,NO,$20 Million,$10 Million
Como-Pickton,112-908,YES,III,YES,$20 Million,$10 Million
Comstock,233-903,YES,III,YES,$20 Million,$10 Million
Connally,161-921,NO,III,NO,$60 Million,$60 Million
Conroe,170-902,NO,I,NO,$100 Million,$100 Million
Coolidge,147-901,YES,III,YES,$20 Million,$10 Million
Cooper,060-902,YES,III,YES,$20 Million,$10 Million
Coppell,057-922,NO,I,NO,$100 Million,$100 Million
Copperas Cove,050-910,YES,III,NO,$20 Million,$10 Million
Corpus Christi,178-904,YES,I,NO,$30 Million,$30 Million
Corrigan-Camden,187-904,YES,I,NO,$30 Million,$30 Million
Corsicana,175-903,YES,I,YES,$30 Million,$30 Million
Cotton Center,095-902,YES,III,YES,$20 Million,$10 Million
Cotulla,142-901,YES,I,YES,$30 Million,$30 Million
Coupland,246-914,NO,V,NO,$20 Million,$20 Million
Covington,109-903,YES,III,YES,$20 Million,$10 Million
Crandall,129-901,NO,II,NO,$80 Million,$80 Million
Crane,052-901,YES,I,YES,$30 Million,$30 Million
Cranfills Gap,018-908,YES,IV,YES,$15 Million,$5 Million
Crawford,161-901,YES,III,NO,$20 Million,$10 Million
Crockett,113-901,YES,II,YES,$25 Million,$20 Million
Crockett County,053-001,YES,II,YES,$25 Million,$20 Million
Crosby,101-906,NO,II,NO,$80 Million,$80 Million
Crosbyton,054-901,YES,II,YES,$25 Million,$20 Million
Cross Plains,030-901,YES,IV,YES,$15 Million,$5 Million
Cross Roads,107-904,NO,IV,NO,$40 Million,$40 Million
Crowell,078-901,YES,III,YES,$20 Million,$10 Million
Crowley,220-912,NO,II,NO,$80 Million,$80 Million
Crystal City,254-901,YES,III,YES,$20 Million,$10 Million
Cuero,062-901,YES,III,YES,$20 Million,$10 Million
Culberson County,055-901,YES,I,YES,$30 Million,$30 Million
Cumby,112-905,YES,IV,YES,$15 Million,$5 Million
Cushing,174-902,YES,I,NO,$30 Million,$30 Million
Cypress-Fairbanks,101-907,NO,I,NO,$100 Million,$100 Million
Daingerfield-Lone Star,172-902,YES,I,YES,$30 Million,$30 Million
Dalhart,056-901,YES,I,YES,$30 Million,$30 Million
Dallas,057-905,NO,I,NO,$100 Million,$100 Million
Damon,020-910,YES,V,NO,$10 Million,$1 Million
Danbury,020-904,YES,III,NO,$20 Million,$10 Million
Darrouzett,148-905,YES,III,YES,$20 Million,$10 Million
Dawson,058-902,YES,III,YES,$20 Million,$10 Million
Dawson,175-904,YES,III,YES,$20 Million,$10 Million
Dayton,146-902,YES,I,NO,$30 Million,$30 Million
De Leon,047-902,YES,III,YES,$20 Million,$10 Million
De Soto,057-906,NO,II,NO,$80 Million,$80 Million
Decatur,249-905,NO,II,NO,$80 Million,$80 Million
Deer Park,101-908,NO,I,NO,$100 Million,$100 Million
Dekalb,019-901,YES,III,NO,$20 Million,$10 Million
Del Valle,227-910,NO,II,NO,$80 Million,$80 Million
Dell City,115-903,YES,III,YES,$20 Million,$10 Million
Denison,091-903,NO,II,NO,$80 Million,$80 Million
Denton,061-901,NO,I,NO,$100 Million,$100 Million
Denver City,251-901,YES,I,YES,$30 Million,$30 Million
Detroit,194-905,YES,III,YES,$20 Million,$10 Million
Devers,146-903,YES,III,NO,$20 Million,$10 Million
Devine,163-901,YES,III,YES,$20 Million,$10 Million
Dew,081-906,YES,III,YES,$20 Million,$10 Million
Deweyville,176-903,YES,I,YES,$30 Million,$30 Million
D'Hanis,163-902,NO,IV,NO,$40 Million,$40 Million
Diboll,003-905,YES,III,NO,$20 Million,$10 Million
Dickinson,084-901,NO,II,NO,$80 Million,$80 Million
Dilley,082-902,YES,II,YES,$25 Million,$20 Million
Dime Box,144-903,YES,III,YES,$20 Million,$10 Million
Dimmitt,035-901,YES,I,YES,$30 Million,$30 Million
Divide,133-905,NO,V,NO,$20 Million,$20 Million
Dodd City,074-904,YES,III,YES,$20 Million,$10 Million
Donna,108-902,YES,III,NO,$20 Million,$10 Million
Doss,086-024,YES,IV,YES,$15 Million,$5 Million
Douglass,174-911,YES,III,NO,$20 Million,$10 Million
Dripping Springs,105-904,NO,II,NO,$80 Million,$80 Million
Driscoll,178-905,YES,III,NO,$20 Million,$10 Million
Dublin,072-902,YES,III,YES,$20 Million,$10 Million
Dumas,171-901,YES,I,YES,$30 Million,$30 Million
Duncanville,057-907,NO,II,NO,$80 Million,$80 Million
Eagle Mountain-Saginaw,220-918,NO,I,NO,$100 Million,$100 Million
Eagle Pass,159-901,YES,III,NO,$20 Million,$10 Million
Eanes,227-909,NO,I,NO,$100 Million,$100 Million
Early,025-909,YES,III,YES,$20 Million,$10 Million
East Bernard,241-902,YES,III,YES,$20 Million,$10 Million
East Central,015-911,NO,II,NO,$80 Million,$80 Million
East Chambers,036-903,NO,IV,NO,$40 Million,$40 Million
Eastland,067-903,YES,III,YES,$20 Million,$10 Million
Ector,074-905,YES,IV,YES,$15 Million,$5 Million
Ector County,068-901,NO,I,NO,$100 Million,$100 Million
Edcouch Elsa,108-903,YES,III,NO,$20 Million,$10 Million
Eden Consolidated,048-901,YES,II,YES,$25 Million,$20 Million
Edgewood,015-905,NO,II,NO,$80 Million,$80 Million
Edgewood,234-903,NO,IV,NO,$40 Million,$40 Million
Edinburg,108-904,YES,I,NO,$30 Million,$30 Million
Edna,120-901,YES,II,YES,$25 Million,$20 Million
El Campo,241-903,YES,III,YES,$20 Million,$10 Million
El Paso,071-902,YES,I,NO,$30 Million,$30 Million
Electra,243-902,NO,IV,NO,$40 Million,$40 Million
Elgin,011-902,YES,III,YES,$20 Million,$10 Million
Elkhart,001-903,YES,III,YES,$20 Million,$10 Million
Elysian Fields,102-906,YES,III,YES,$20 Million,$10 Million
Ennis,070-903,NO,II,NO,$80 Million,$80 Million
Era,049-906,YES,III,YES,$20 Million,$10 Million
Etoile,174-910,YES,IV,NO,$15 Million,$5 Million
Eula,030-906,YES,III,YES,$20 Million,$10 Million
Eustace,107-905,NO,III,NO,$60 Million,$60 Million
Evadale,121-906,YES,I,YES,$30 Million,$30 Million
Evant,050-901,YES,IV,YES,$15 Million,$5 Million
Everman,220-904,NO,II,NO,$80 Million,$80 Million
Excelsior,210-906,YES,IV,YES,$15 Million,$5 Million
Ezzell,143-906,YES,III,YES,$20 Million,$10 Million
Fabens,071-903,YES,III,NO,$20 Million,$10 Million
Fairfield,081-902,YES,I,YES,$30 Million,$30 Million
Falls City,128-904,YES,III,YES,$20 Million,$10 Million
Fannindel,060-914,YES,III,YES,$20 Million,$10 Million
Farmersville,043-904,NO,III,NO,$60 Million,$60 Million
Farwell,185-902,YES,III,YES,$20 Million,$10 Million
Fayetteville,075-906,YES,III,YES,$20 Million,$10 Million
Ferris,070-905,NO,III,NO,$60 Million,$60 Million
Flatonia,075-901,YES,III,YES,$20 Million,$10 Million
Florence,246-902,YES,III,NO,$20 Million,$10 Million
Floresville,247-901,NO,II,NO,$80 Million,$80 Million
Flour Bluff,178-914,YES,II,NO,$25 Million,$20 Million
Floydada,077-901,YES,I,YES,$30 Million,$30 Million
Follett,148-902,YES,III,YES,$20 Million,$10 Million
Forestburg,169-910,YES,III,YES,$20 Million,$10 Million
Forney,129-902,NO,II,NO,$80 Million,$80 Million
Forsan,114-904,YES,II,YES,$25 Million,$20 Million
Fort Bend,079-907,NO,I,NO,$100 Million,$100 Million
Fort Davis,122-901,YES,III,YES,$20 Million,$10 Million
Fort Elliott,242-906,YES,I,YES,$30 Million,$30 Million
Fort Hancock,115-901,YES,III,YES,$20 Million,$10 Million
Fort Stockton,186-902,YES,I,YES,$30 Million,$30 Million
Fort Worth,220-905,NO,I,NO,$100 Million,$100 Million
Franklin,198-903,YES,I,YES,$30 Million,$30 Million
Frankston,001-904,NO,IV,NO,$40 Million,$40 Million
Fredericksburg,086-901,YES,III,YES,$20 Million,$10 Million
Freer,066-903,YES,III,YES,$20 Million,$10 Million
Frenship,152-907,YES,III,YES,$20 Million,$10 Million
Friendswood,084-911,YES,III,NO,$20 Million,$10 Million
Friona,185-903,YES,II,YES,$25 Million,$20 Million
Frisco,043-905,NO,I,NO,$100 Million,$100 Million
Frost,175-905,YES,III,YES,$20 Million,$10 Million
Fruitvale,234-909,NO,V,NO,$20 Million,$20 Million
Gainesville,049-901,YES,II,YES,$25 Million,$20 Million
Galena Park,101-910,NO,I,NO,$100 Million,$100 Million
Galveston,084-902,NO,II,NO,$80 Million,$80 Million
Ganado,120-902,YES,I,YES,$30 Million,$30 Million
Garland,057-909,NO,I,NO,$100 Million,$100 Million
Garner,184-911,NO,IV,NO,$40 Million,$40 Million
Garrison,174-903,YES,III,NO,$20 Million,$10 Million
Gary,183-904,YES,III,YES,$20 Million,$10 Million
Gatesville,050-902,YES,III,NO,$20 Million,$10 Million
Gause,166-902,YES,III,YES,$20 Million,$10 Million
George West,149-901,YES,II,YES,$25 Million,$20 Million
Georgetown,246-904,NO,I,NO,$100 Million,$100 Million
Gholson,161-925,NO,V,NO,$20 Million,$20 Million
Giddings,144-901,YES,II,YES,$25 Million,$20 Million
Gilmer,230-902,YES,III,YES,$20 Million,$10 Million
Gladewater,092-901,YES,III,YES,$20 Million,$10 Million
Glasscock,087-901,YES,I,YES,$30 Million,$30 Million
Glen Rose,213-901,YES,I,NO,$30 Million,$30 Million
Godley,126-911,NO,III,NO,$60 Million,$60 Million
Gold Burg,169-906,YES,III,YES,$20 Million,$10 Million
Goldthwaite,167-901,YES,II,YES,$25 Million,$20 Million
Goliad,088-902,YES,I,YES,$30 Million,$30 Million
Gonzales,089-901,YES,I,YES,$30 Million,$30 Million
Goodrich,187-903,YES,III,NO,$20 Million,$10 Million
Goose Creek,101-911,NO,I,NO,$100 Million,$100 Million
Gordon,182-901,YES,III,YES,$20 Million,$10 Million
Gorman,067-904,YES,III,YES,$20 Million,$10 Million
Grady,156-905,YES,II,YES,$25 Million,$20 Million
Graford,182-902,YES,III,YES,$20 Million,$10 Million
Graham,252-901,YES,V,YES,$10 Million,$1 Million
Granbury,111-901,YES,I,NO,$30 Million,$30 Million
Grand Prairie,057-910,NO,II,NO,$80 Million,$80 Million
Grand Saline,234-904,NO,IV,NO,$40 Million,$40 Million
Grandview,126-904,YES,III,YES,$20 Million,$10 Million
Grandview-Hopkins,090-905,YES,III,YES,$20 Million,$10 Million
Granfalls-Royalty,238-904,YES,III,YES,$20 Million,$10 Million
Granger,246-905,NO,IV,NO,$40 Million,$40 Million
Grape Creek,226-907,NO,IV,NO,$40 Million,$40 Million
Grapeland,113-902,YES,III,YES,$20 Million,$10 Million
Grapevine-Colleyville,220-906,NO,I,NO,$100 Million,$100 Million
Greenville,116-905,YES,I,NO,$30 Million,$30 Million
Greenwood,165-902,NO,II,NO,$80 Million,$80 Million
Gregory-Portland,205-902,YES,I,NO,$30 Million,$30 Million
Groesbeck,147-902,YES,I,YES,$30 Million,$30 Million
Groom,033-901,YES,I,YES,$30 Million,$30 Million
Groveton,228-901,YES,III,YES,$20 Million,$10 Million
